51,0.417,1134.2,217.14,829.34,1430.5,211.68,801.53,1204.9,207.28,1052,1412,211.26,1052.9,1265.3,370.7,1105,1369,413.81,1028.9,1298.6,511.16,774.7,1234.5,574.64,827.66,1027.3,430.15,799.9,1076.3,345.16,793.32,967.95,346.62,820.28
52,0.425,1134.4,216.99,829.36,1430.6,211.69,801.63,1205,207.19,1052.1,1412,211.29,1053.1,1265.2,370.77,1105,1369.8,413.69,1029.5,1303.3,511.45,775.48,1239,575.41,827.99,1032.5,430.09,800.7,1081.8,345.24,794.41,973.22,346.47,820.99
53,0.433,1134.6,216.83,829.38,1430.7,211.69,801.74,1205,207.11,1052.1,1412,211.33,1053.3,1265.2,370.83,1105.1,1370.6,413.58,1030.1,1308.2,511.82,776.43,1243.5,576.19,828.43,1037.7,430.09,801.38,1087.3,345.36,795.41,978.54,346.37,821.57
54,0.442,1134.8,216.67,829.43,1430.7,211.68,801.84,1205,207.02,1052.2,1411.9,211.36,1053.5,1265.1,370.89,1105.1,1371.4,413.45,1030.8,1313.1,512.28,777.53,1248,576.99,828.98,1042.9,430.12,801.95,1092.8,345.5,796.33,983.92,346.34,822.03
55,0.45,1135,216.49,829.49,1430.8,211.67,801.93,1204.9,206.93,1052.2,1411.8,211.4,1053.7,1265,370.94,1105.1,1372.2,413.3,1031.5,1318.1,512.83,778.79,1252.6,577.8,829.62,1048.3,430.21,802.41,1098.3,345.66,797.16,989.35,346.38,822.37
56,0.458,1135.1,216.32,829.58,1430.8,211.65,802,1204.9,206.81,1052.2,1411.6,211.44,1053.9,1264.9,371,1105.1,1373,413.11,1032.1,1323.1,513.48,780.19,1257.1,578.61,830.35,1053.6,430.33,802.75,1103.9,345.85,797.9,994.84,346.47,822.62
57,0.467,1135.3,216.16,829.7,1430.8,211.63,802.05,1204.8,206.67,1052.3,1411.5,211.49,1054,1264.8,371.05,1105,1373.6,412.87,1032.7,1328.3,514.21,781.72,1261.6,579.42,831.14,1059,430.5,803,1109.5,346.08,798.56,1000.4,346.6,822.79
58,0.475,1135.4,216.01,829.83,1430.8,211.61,802.07,1204.6,206.51,1052.3,1411.4,211.54,1054.1,1264.6,371.12,1104.9,1374.3,412.6,1033.2,1333.5,515,783.35,1266.1,580.22,831.99,1064.5,430.7,803.19,1115.2,346.35,799.17,1005.9,346.79,822.89
59,0.483,1135.5,215.88,829.98,1430.7,211.6,802.08,1204.4,206.33,1052.3,1411.3,211.6,1054.2,1264.4,371.2,1104.8,1374.8,412.3,1033.7,1338.8,515.83,785.08,1270.6,581.01,832.9,1070,430.94,803.34,1120.9,346.66,799.73,1011.5,347,822.94
60,0.492,1135.5,215.76,830.12,1430.7,211.58,802.07,1204.2,206.16,1052.3,1411.2,211.66,1054.2,1264.2,371.3,1104.6,1375.4,411.98,1034.1,1344.1,516.66,786.89,1275.1,581.79,833.86,1075.5,431.22,803.47,1126.6,347.02,800.28,1017.1,347.25,822.95
